method,model,dataset,metric,mean,std,n,config_hash
gradcam,densenet121,imagenet,efficiency_time_ms,19.75156140215404,0.3375417346153033,460,45749d6c44aa
ig,densenet121,imagenet,efficiency_time_ms,191.83408550432668,0.6952460485612915,460,6466168496b6
gradcam,resnet50,imagenet,efficiency_time_ms,8.110345410837592,0.230046976112951,460,b103251d4a4d
ig,resnet50,imagenet,efficiency_time_ms,168.7587650998941,0.340250038560759,460,0d5aefac053b
gradcam,vgg16,imagenet,efficiency_time_ms,10.094376441259596,0.0818962326624395,460,6b629004f09a
ig,vgg16,imagenet,efficiency_time_ms,298.08738323040217,0.6045239107537155,460,808492b7aa38
gradcam,densenet121,imagenet,faithfulness_morf_auc_raw,0.0567580810560447,0.060630678248133,460,45749d6c44aa
ig,densenet121,imagenet,faithfulness_morf_auc_raw,0.0444687264490959,0.0794274819280677,460,6466168496b6
gradcam,resnet50,imagenet,faithfulness_morf_auc_raw,0.0876425446497033,0.0687415489001995,460,b103251d4a4d
ig,resnet50,imagenet,faithfulness_morf_auc_raw,0.0383724911278872,0.0520867475953739,460,0d5aefac053b
gradcam,vgg16,imagenet,faithfulness_morf_auc_raw,0.2424056651336207,0.2341312482186539,460,6b629004f09a
ig,vgg16,imagenet,faithfulness_morf_auc_raw,0.0216507099163366,0.0163411966937629,460,808492b7aa38
gradcam,densenet121,voc,efficiency_time_ms,19.22769190218589,0.2617480884029725,460,7d7e2ed44019
ig,densenet121,voc,efficiency_time_ms,191.6357833456736,0.7509415947513627,460,a1cc02d5bbde
gradcam,resnet50,voc,efficiency_time_ms,7.808435152156048,0.2549880993189335,460,6efaa935e970
ig,resnet50,voc,efficiency_time_ms,168.39034361942734,0.3557020688446084,460,2a7264315a4d
gradcam,vgg16,voc,efficiency_time_ms,10.000281895665228,0.0629519348258891,460,caf355cf4391
ig,vgg16,voc,efficiency_time_ms,297.5300391370104,0.6016870053807679,460,b0f3058aa805
gradcam,densenet121,voc,faithfulness_morf_auc_raw,0.4366350303039603,0.2086266904109512,460,7d7e2ed44019
ig,densenet121,voc,faithfulness_morf_auc_raw,0.3266951222134673,0.1779554793053414,460,a1cc02d5bbde
gradcam,resnet50,voc,faithfulness_morf_auc_raw,0.5385120687925298,0.1328855461604915,460,6efaa935e970
ig,resnet50,voc,faithfulness_morf_auc_raw,0.4418877168518045,0.0970231924939198,460,2a7264315a4d
gradcam,vgg16,voc,faithfulness_morf_auc_raw,0.3364477865635822,0.2678027700310575,460,caf355cf4391
ig,vgg16,voc,faithfulness_morf_auc_raw,0.1137806416155122,0.1041792991596726,460,b0f3058aa805
