dataset,model,image_id,target,n_samples,time_ms,map_min,map_max,peak_memory_mib,reference_n_samples,spearman_to_reference,top10_jaccard_to_reference,degenerate
imagenet,resnet50,ILSVRC2012_val_00012132,17,256,394.9164630000723,0.0,1.0,288.91357421875,4096,0.15151925666791513,0.05263157894736842,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,256,394.5073489999231,0.0,1.0,288.91357421875,4096,0.1730398680362422,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,256,393.5961950001001,0.0,1.0,288.91357421875,4096,0.19102391444668457,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,256,394.30723400005263,0.0,1.0,288.91357421875,4096,0.3007355226354501,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,256,393.6627790001239,0.0,1.0,288.91357421875,4096,0.07853437353074771,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,256,394.63424599989594,0.0,1.0,288.91357421875,4096,0.19106694610683012,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,256,393.80112100002407,0.0,1.0,288.91357421875,4096,0.19456207316975993,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,256,397.05570999990414,0.0,1.0,288.91357421875,4096,0.1952298607846106,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,256,394.2879349999657,0.0,1.0,288.91357421875,4096,0.04050394855325965,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,256,394.15726099991844,0.0,1.0,288.91357421875,4096,0.26743539274358713,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,512,776.1881230001109,0.0,1.0,290.39013671875,4096,0.2859836320314928,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,512,776.2452560000384,0.0,1.0,290.39013671875,4096,0.4227334666783543,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,512,775.7021219999842,0.0,1.0,290.39013671875,4096,0.29746511646439133,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,512,776.407995999989,0.0,1.0,290.39013671875,4096,0.4810828040704763,0.25,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,512,776.2644769998133,0.0,1.0,290.39013671875,4096,0.27541696881798405,0.02564102564102564,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,512,777.0131329998549,0.0,1.0,290.39013671875,4096,0.3155655077337456,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,512,776.8355790001351,0.0,1.0,290.39013671875,4096,0.39068125493071104,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,512,775.8675980001044,0.0,1.0,290.39013671875,4096,0.3101833626851756,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,512,775.9605749999992,0.0,1.0,290.39013671875,4096,0.26189387117595964,0.05263157894736842,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,512,776.45327800019,0.0,1.0,290.39013671875,4096,0.41951565475858443,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,1024,1538.484765000021,0.0,1.0,293.34326171875,4096,0.4724079401381795,0.2903225806451613,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,1024,1537.3171489998185,0.0,1.0,293.34326171875,4096,0.5240889639729378,0.25,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,1024,1535.2210399998967,0.0,1.0,293.34326171875,4096,0.459450629138809,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,1024,1539.3625449999035,0.0,1.0,293.34326171875,4096,0.6311852034839707,0.3793103448275862,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,1024,1537.722229999872,0.0,1.0,293.34326171875,4096,0.43274231207516195,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,1024,1538.9071209999656,0.0,1.0,293.34326171875,4096,0.4978635577620349,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,1024,1539.8485459998028,0.0,1.0,293.34326171875,4096,0.4820789073145853,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,1024,1538.9240800000152,0.0,1.0,293.34326171875,4096,0.48149080795926336,0.25,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,1024,1541.8778910000128,0.0,1.0,293.34326171875,4096,0.3781032600466973,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,1024,1535.998232999873,0.0,1.0,293.34326171875,4096,0.48097920933308896,0.2903225806451613,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,2048,3087.1623299999555,0.0,1.0,299.24951171875,4096,0.696679390225438,0.42857142857142855,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,2048,3058.8018769999508,0.0,1.0,299.24951171875,4096,0.7685502314943939,0.5384615384615384,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,2048,3137.6650439999594,0.0,1.0,299.24951171875,4096,0.6730087896150259,0.3333333333333333,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,2048,3059.358118000091,0.0,1.0,299.24951171875,4096,0.800994828628401,0.7391304347826086,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,2048,3058.7221050000153,0.0,1.0,299.24951171875,4096,0.6700156985871272,0.2903225806451613,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,2048,3060.4828660000294,0.0,1.0,299.24951171875,4096,0.6992134768784516,0.2903225806451613,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,2048,3060.037622999971,0.0,1.0,299.24951171875,4096,0.7211500609615185,0.3333333333333333,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,2048,3060.824941999954,0.0,1.0,299.24951171875,4096,0.672170469124784,0.48148148148148145,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,2048,3058.34105200006,0.0,1.0,299.24951171875,4096,0.6423989353648526,0.25,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,2048,3057.5310079998417,0.0,1.0,299.24951171875,4096,0.7708898787941573,0.3793103448275862,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,4096,6107.982213000014,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,4096,6109.291700000085,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,4096,6108.829455000205,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,4096,6108.790393999925,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,4096,6189.766468000016,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,4096,6108.297036000067,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,4096,6108.434703000057,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,4096,6107.075340999927,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,4096,6122.395463999965,0.0,1.0,311.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,4096,6145.569215000023,0.0,1.0,311.06201171875,4096,1.0,1.0,False
