dataset,model,image_id,target,n_samples,time_ms,map_min,map_max,peak_memory_mib,reference_n_samples,spearman_to_reference,top10_jaccard_to_reference,degenerate
imagenet,resnet50,ILSVRC2012_val_00012132,17,64,147.69862699995429,0.0,1.0,287.80615234375,2048,0.0635768872172063,0.02564102564102564,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,64,144.24715199993443,0.0,1.0,287.80615234375,2048,0.019096494513463333,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,64,219.22187699988172,0.0,1.0,287.80615234375,2048,0.1069671445305963,0.05263157894736842,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,64,149.61136700003408,0.0,1.0,287.80615234375,2048,0.24347402699602178,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,64,146.73538900001404,0.0,1.0,287.80615234375,2048,0.0457075919004853,0.05263157894736842,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,64,159.4633419999809,0.0,1.0,287.80615234375,2048,0.12007586322307134,0.05263157894736842,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,64,147.01956099997915,0.0,1.0,287.80615234375,2048,0.057858457713425085,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,64,142.64560999981768,0.0,1.0,287.80615234375,2048,0.04706069854728302,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,64,151.04882500008898,0.0,1.0,287.80615234375,2048,0.078754313127047,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,64,155.86437199999637,0.0,1.0,287.80615234375,2048,0.13642789407836545,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,128,207.5965899998664,0.0,1.0,288.17529296875,2048,0.12125684322928702,0.02564102564102564,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,128,207.58958500005065,0.0,1.0,288.17529296875,2048,0.15381427854234236,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,128,206.8710880000708,0.0,1.0,288.17529296875,2048,0.15964427160946376,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,128,207.61765599991122,0.0,1.0,288.17529296875,2048,0.24159258643890485,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,128,209.01082399996085,0.0,1.0,288.17529296875,2048,0.08970188622110305,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,128,209.49565599994457,0.0,1.0,288.17529296875,2048,0.2760146307644495,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,128,209.51789099990492,0.0,1.0,288.17529296875,2048,0.19584505414817233,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,128,202.1730800001933,0.0,1.0,288.17529296875,2048,0.18730247272669318,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,128,206.93417899997257,0.0,1.0,288.17529296875,2048,0.17783710125987137,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,128,201.7824740000833,0.0,1.0,288.17529296875,2048,0.16587908103499113,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,256,394.46451000003435,0.0,1.0,288.91357421875,2048,0.2392751555913267,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,256,392.3597449997942,0.0,1.0,288.91357421875,2048,0.18413566129302167,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,256,392.4715020000349,0.0,1.0,288.91357421875,2048,0.269915291380121,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,256,392.11050999983854,0.0,1.0,288.91357421875,2048,0.2729929607348115,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,256,392.4183289998382,0.0,1.0,288.91357421875,2048,0.1379037206448374,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,256,391.94247299997187,0.0,1.0,288.91357421875,2048,0.22841842711313343,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,256,391.75400999988597,0.0,1.0,288.91357421875,2048,0.28375236076468857,0.25,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,256,392.75070899998354,0.0,1.0,288.91357421875,2048,0.2729848831371674,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,256,391.92429799982165,0.0,1.0,288.91357421875,2048,0.17369649929475892,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,256,392.5226419999035,0.0,1.0,288.91357421875,2048,0.2981615918526724,0.08108108108108109,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,512,771.4994199998273,0.0,1.0,290.39013671875,2048,0.4138928511662377,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,512,772.7735889998257,0.0,1.0,290.39013671875,2048,0.4021436141813227,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,512,772.4572769998304,0.0,1.0,290.39013671875,2048,0.43476958139757266,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,512,773.2531230001314,0.0,1.0,290.39013671875,2048,0.5460345313273036,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,512,771.94402300006,0.0,1.0,290.39013671875,2048,0.41699591199228614,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,512,773.2196849999582,0.0,1.0,290.39013671875,2048,0.47229637657483925,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,512,773.6954629999673,0.0,1.0,290.39013671875,2048,0.48759652240435414,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,512,774.3083389998446,0.0,1.0,290.39013671875,2048,0.4366422554964977,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,512,772.7261800000633,0.0,1.0,290.39013671875,2048,0.42113651395739865,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,512,774.0233790000275,0.0,1.0,290.39013671875,2048,0.4640741419566655,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,1024,1530.870837999828,0.0,1.0,293.34326171875,2048,0.7107124927284463,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,1024,1530.6759859997783,0.0,1.0,293.34326171875,2048,0.6815338396194089,0.3793103448275862,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,1024,1528.5662990002038,0.0,1.0,293.34326171875,2048,0.6856999418275705,0.14285714285714285,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,1024,1527.921994000053,0.0,1.0,293.34326171875,2048,0.77794259972697,0.3793103448275862,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,1024,1531.854648000035,0.0,1.0,293.34326171875,2048,0.6687422801998582,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,1024,1533.5117739998623,0.0,1.0,293.34326171875,2048,0.7105849915132004,0.21212121212121213,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,1024,1535.3793990000213,0.0,1.0,293.34326171875,2048,0.6487373395277674,0.17647058823529413,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,1024,1531.2057000001005,0.0,1.0,293.34326171875,2048,0.675491875781941,0.3333333333333333,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,1024,1531.4119369998025,0.0,1.0,293.34326171875,2048,0.6271529775518172,0.25,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,1024,1532.6586809999299,0.0,1.0,293.34326171875,2048,0.6388528078158245,0.25,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,2048,3047.5854070000423,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,2048,3125.7779370000662,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,2048,3054.5788310000717,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,2048,3046.678495999913,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,2048,3042.710513999964,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,2048,3043.151267999974,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,2048,3041.3845729999593,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,2048,3041.4646629999424,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,2048,3042.7122959999906,0.0,1.0,299.24951171875,2048,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,2048,3046.311916999912,0.0,1.0,299.24951171875,2048,1.0,1.0,False
