dataset,model,method,sigma,repeats_total,valid_repeats,degenerate_repeats,spearman_mean,spearman_std,spearman_min,top10_jaccard_mean,prediction_preserved_rate,target_score_abs_delta_mean,target_score_abs_delta_max,perturbation_mae_pixel_mean,attribution_time_ms_mean
imagenet,densenet121,gradcam,0.01,50,50,0,0.9940204643173169,0.009100789178408918,0.9595157513795353,0.9156074097311675,1.0,0.011385344508014442,0.06131547689437866,0.007944246549159288,19.3594359999679
imagenet,densenet121,gradcam,0.02,50,50,0,0.9848265666617431,0.017283248872967307,0.9246905298704816,0.8582203285937996,1.0,0.02303352056238509,0.16788679361343384,0.015824894215911628,19.348235659963393
imagenet,densenet121,gradcam,0.05,50,50,0,0.9668581599863474,0.03409989715239787,0.8580856819666738,0.7819331113818728,0.94,0.04947151721818727,0.36437106132507324,0.03907288238406181,19.40457943999718
imagenet,densenet121,ig,0.01,50,50,0,0.6142648347497702,0.118090596108403,0.3820403174729949,0.4126405169891899,1.0,0.011385344508014442,0.06131547689437866,0.007944246549159288,191.08151049999833
imagenet,densenet121,ig,0.02,50,50,0,0.4301148765716035,0.10812960604342715,0.24803910934325146,0.30057617790626334,1.0,0.02303352056238509,0.16788679361343384,0.015824894215911628,191.0654742600127
imagenet,densenet121,ig,0.05,50,50,0,0.20394863997818707,0.06067150015052894,0.11154024338431807,0.1942257931417299,0.94,0.04947151721818727,0.36437106132507324,0.03907288238406181,191.09456851998402
imagenet,resnet50,gradcam,0.01,50,50,0,0.9695030596011078,0.0175254480242446,0.90852533277653,0.9113176016481487,1.0,0.04800400238484144,0.3642452508211136,0.007944246549159288,7.95953234002809
imagenet,resnet50,gradcam,0.02,50,50,0,0.9450084291649312,0.030812158316134687,0.868107807008157,0.8677403868762552,1.0,0.0666588419675827,0.38095684349536896,0.015824894215911628,7.978527580071386
imagenet,resnet50,gradcam,0.05,50,50,0,0.9009046667850066,0.03982540975372124,0.7791764859718462,0.7990991763594648,0.88,0.07375695446506142,0.24878445267677307,0.03907288238406181,8.04585834001955
imagenet,resnet50,ig,0.01,50,50,0,0.48791040915139844,0.11766437692849155,0.2992551075858246,0.34510785329575655,1.0,0.04800400238484144,0.3642452508211136,0.007944246549159288,167.40524240000923
imagenet,resnet50,ig,0.02,50,50,0,0.30388664666840304,0.08542254046102782,0.19484544629461517,0.243362605859721,1.0,0.0666588419675827,0.38095684349536896,0.015824894215911628,167.41368345997216
imagenet,resnet50,ig,0.05,50,50,0,0.12332695341644503,0.04676800531980174,0.07278801414354545,0.16390629645338872,0.88,0.07375695446506142,0.24878445267677307,0.03907288238406181,167.39186345996131
imagenet,vgg16,gradcam,0.01,50,50,0,0.8453226239933475,0.11118934622805537,0.5159572649372933,0.6014769310209027,0.9,0.029020483256635997,0.2696366310119629,0.007944246549159288,10.013713359976464
imagenet,vgg16,gradcam,0.02,50,50,0,0.6809719052005334,0.17494073243178748,0.2863489712331736,0.43303148258274177,0.68,0.06971586224078237,0.6973543763160706,0.015824894215911628,10.011174159953953
imagenet,vgg16,gradcam,0.05,50,50,0,0.46628565776601394,0.20094467325906348,-0.12245186856682666,0.2839250485588428,0.62,0.10765033918963127,0.7057117223739624,0.03907288238406181,10.011963760016442
imagenet,vgg16,ig,0.01,50,50,0,0.6127057940054301,0.11974510089155851,0.4239201370065328,0.4374401228632278,0.9,0.029020483256635997,0.2696366310119629,0.007944246549159288,297.00268211997354
imagenet,vgg16,ig,0.02,50,50,0,0.3972583240400318,0.11012603697752917,0.22202457900051825,0.30749265268624915,0.68,0.06971586224078237,0.6973543763160706,0.015824894215911628,297.2892024199791
imagenet,vgg16,ig,0.05,50,50,0,0.1600701480843576,0.053095389625781905,0.07955673807396349,0.19573221413060135,0.62,0.10765033918963127,0.7057117223739624,0.03907288238406181,297.0440156600216
voc,densenet121,gradcam,0.01,50,50,0,0.9841584351451448,0.02359059869523326,0.9073999420758645,0.9216179914321999,0.9,0.030998299717903136,0.17469659447669983,0.007927931360900402,19.35441293999247
voc,densenet121,gradcam,0.02,50,50,0,0.9409708600716756,0.12868644233284343,0.2531803360966544,0.8221561850560757,0.9,0.06036041557788849,0.2611377537250519,0.015773095358163118,19.433046139929502
voc,densenet121,gradcam,0.05,50,50,0,0.9264206604727313,0.08074603103334689,0.5590556999729708,0.7512414605977136,0.9,0.09382397949695587,0.37499356269836426,0.03891832046210766,19.456430759992145
voc,densenet121,ig,0.01,50,50,0,0.5256412017866577,0.20422575492319098,0.1703562182892702,0.3372485801744357,0.9,0.030998299717903136,0.17469659447669983,0.007927931360900402,191.526117659987
voc,densenet121,ig,0.02,50,50,0,0.3647410705909769,0.18388819993759412,0.09533085213876533,0.2441004115467854,0.9,0.06036041557788849,0.2611377537250519,0.015773095358163118,191.41852854000717
voc,densenet121,ig,0.05,50,50,0,0.17382747843986482,0.10203823880673954,0.03328930675578477,0.157322742160089,0.9,0.09382397949695587,0.37499356269836426,0.03891832046210766,191.415572459955
voc,resnet50,gradcam,0.01,50,50,0,0.9331328098013348,0.06955203334873954,0.7577770359180908,0.8841553949454435,1.0,0.01631782054901123,0.10890281200408936,0.007927931360900402,7.949849460019323
voc,resnet50,gradcam,0.02,50,50,0,0.9039330737826172,0.07657442699160684,0.7071422468038043,0.8122737663408942,0.94,0.03170396447181702,0.12420016527175903,0.015773095358163118,7.997849080047672
voc,resnet50,gradcam,0.05,50,50,0,0.8233100659393011,0.1329740175206202,0.5313554446634112,0.704752916863615,0.8,0.12594206631183624,0.4940268099308014,0.03891832046210766,7.965322619947983
voc,resnet50,ig,0.01,50,50,0,0.35240543423307985,0.19789431170105373,0.08289713177972913,0.250404336347946,1.0,0.01631782054901123,0.10890281200408936,0.007927931360900402,168.1319923999763
voc,resnet50,ig,0.02,50,50,0,0.20721414624770065,0.14052506456282532,0.041146860964332115,0.1781824253323473,0.94,0.03170396447181702,0.12420016527175903,0.015773095358163118,168.1697266199717
voc,resnet50,ig,0.05,50,50,0,0.07931275975085104,0.05872497905427358,0.004432367914119443,0.12145340561533137,0.8,0.12594206631183624,0.4940268099308014,0.03891832046210766,168.21198729996468
voc,vgg16,gradcam,0.01,50,45,5,0.8987245396224315,0.07720910000937024,0.6995859625932959,0.7080129532107851,0.92,0.036346795107238,0.2851788401603699,0.007927931360900402,9.981825460017717
voc,vgg16,gradcam,0.02,50,45,5,0.7769474754929556,0.16129644014975247,0.3746879232026343,0.5792900463013123,0.9,0.06276727878954262,0.3601856827735901,0.015773095358163118,9.998358800003189
voc,vgg16,gradcam,0.05,50,45,5,0.5887833434610841,0.25222383736969556,0.011814112625733519,0.42922750252156,0.7,0.1646008879272267,0.8713308647274971,0.03891832046210766,9.98776309999812
voc,vgg16,ig,0.01,50,50,0,0.5564989857240157,0.22163130162718261,0.2072467051703676,0.38789107167215603,0.92,0.036346795107238,0.2851788401603699,0.007927931360900402,297.72469481998087
voc,vgg16,ig,0.02,50,50,0,0.3863168134002375,0.20857191381641838,0.08695259411744725,0.2782497867817584,0.9,0.06276727878954262,0.3601856827735901,0.015773095358163118,297.9333437200148
