dataset,model,method,image_id,target,sigma,repeat,seed,status,spearman,top10_jaccard,original_pred,perturbed_pred,prediction_preserved,original_target_score,perturbed_target_score,target_score_abs_delta,perturbation_mae_pixel,attribution_time_ms
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,0,1240890485581281775,valid,0.6483902947384941,0.4492418772563177,17,17,True,0.8944293856620789,0.9157871007919312,0.021357715129852295,0.003996922168880701,296.93409799983783
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,1,7809966714089166156,valid,0.6430489608925872,0.45301867670479223,17,17,True,0.8944293856620789,0.9150027632713318,0.02057337760925293,0.003996476996690035,297.01736999959394
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,2,594568608699110832,valid,0.6574426982146503,0.4507082971957213,17,17,True,0.8944293856620789,0.9353545904159546,0.04092520475387573,0.003997646272182465,296.9594569999572
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,3,8272835477805138346,valid,0.6492498426337938,0.45935727788279773,17,17,True,0.8944293856620789,0.9275123476982117,0.03308296203613281,0.003987786825746298,297.1079330000066
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,4,5588988483984321074,valid,0.6480166179007832,0.43823445113212955,17,17,True,0.8944293856620789,0.9125686883926392,0.018139302730560303,0.003985461313277483,297.23807500022303
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,0,2495375757937344332,valid,0.848770844011406,0.6995766299745978,251,251,True,7.059310974000255e-06,7.543312221969245e-06,4.840012479689904e-07,0.003977824002504349,297.03654099967025
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,1,8258382046345720994,valid,0.8500311431727172,0.6961297955044786,251,251,True,7.059310974000255e-06,7.147987616917817e-06,8.867664291756228e-08,0.0039786482229828835,297.9001500002596
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,2,1986566169149637064,valid,0.8486603228966503,0.695843190266982,251,251,True,7.059310974000255e-06,3.725579517777078e-06,3.333731456223177e-06,0.003982102498412132,297.05046900016896
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,3,781331182807300414,valid,0.8493087715045206,0.6924114671163575,251,251,True,7.059310974000255e-06,6.304327598627424e-06,7.549833753728308e-07,0.003985240124166012,297.1202540002196
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,4,821512256087617785,valid,0.853023603536862,0.7010169491525424,251,251,True,7.059310974000255e-06,4.289771823096089e-06,2.7695391509041656e-06,0.003987926058471203,300.53219799992803
