dataset,model,method,sigma,repeats_total,valid_repeats,degenerate_repeats,spearman_mean,spearman_std,spearman_min,top10_jaccard_mean,prediction_preserved_rate,target_score_abs_delta_mean,target_score_abs_delta_max,perturbation_mae_pixel_mean,attribution_time_ms_mean
imagenet,densenet121,gradcam,0.005,200,200,0,0.9987948673480486,0.0019321335630247231,0.9853833646304376,0.9694333649523553,0.995,0.01014283459531839,0.09556365013122559,0.003944806187646464,18.88188111500085
imagenet,densenet121,ig,0.005,200,200,0,0.7443282650250567,0.12351053821130815,0.4213548363166171,0.532819562703412,0.995,0.01014283459531839,0.09556365013122559,0.003944806187646464,191.45547770499888
imagenet,resnet50,gradcam,0.005,200,200,0,0.9901591771114382,0.010039306168258905,0.9356975974920231,0.9604849623700225,0.98,0.01543243340216577,0.1604626625776291,0.003944806187646464,7.917457160015147
imagenet,resnet50,ig,0.005,200,200,0,0.6492448926554775,0.14812177017080305,0.32438451208695435,0.45536573971841354,0.98,0.01543243340216577,0.1604626625776291,0.003944806187646464,168.35221605998413
imagenet,vgg16,gradcam,0.005,200,195,5,0.9252588894584425,0.07557117215782115,0.5014587049677577,0.7767467890653776,0.955,0.01406461042128285,0.11809355020523071,0.003944806187646464,10.07208752000679
imagenet,vgg16,ig,0.005,200,200,0,0.7826390003299147,0.1056621928228696,0.4804870187083424,0.5876674325659549,0.955,0.01406461042128285,0.11809355020523071,0.003944806187646464,298.0826262600135
voc,densenet121,gradcam,0.005,200,195,5,0.9970689790441153,0.005368063691356531,0.9678970911427454,0.966426555049896,0.96,0.006173911318182945,0.070707768201828,0.003972359196050093,19.159103410015632
voc,densenet121,ig,0.005,200,200,0,0.7036437256484586,0.1564300343503726,0.30986866006518826,0.4837469421866871,0.96,0.006173911318182945,0.070707768201828,0.003972359196050093,190.6209525149916
voc,resnet50,gradcam,0.005,200,200,0,0.9722548718306622,0.04222400951785349,0.7549424603971308,0.9151811317672547,1.0,0.008264621794223785,0.06436949968338013,0.003972359196050093,7.854536535023726
voc,resnet50,ig,0.005,200,200,0,0.5606968337421272,0.18585076939876385,0.16480337651572763,0.38075386962036667,1.0,0.008264621794223785,0.06436949968338013,0.003972359196050093,167.3936109199963
voc,vgg16,gradcam,0.005,200,195,5,0.9606889297930384,0.04082904287530572,0.7969464165979268,0.8316757171673597,1.0,0.008375402118545025,0.19444912672042847,0.003972359196050093,9.944734435018745
voc,vgg16,ig,0.005,200,200,0,0.7652619200061122,0.14314959021501583,0.40632346671007247,0.5646329306001203,1.0,0.008375402118545025,0.19444912672042847,0.003972359196050093,297.56026771001416
