dataset,model,method,sigma,repeats_total,valid_repeats,degenerate_repeats,spearman_mean,spearman_std,spearman_min,top10_jaccard_mean,prediction_preserved_rate,target_score_abs_delta_mean,target_score_abs_delta_max,perturbation_mae_pixel_mean,attribution_time_ms_mean
imagenet,densenet121,gradcam,0.002,50,50,0,0.9997736113286483,0.00029818370461165926,0.9985786257643814,0.9812199945760166,1.0,0.0019302159313383527,0.013289213180541992,0.0015923673496581615,19.46497184000691
imagenet,densenet121,gradcam,0.005,50,50,0,0.9982518238978798,0.00332060505784982,0.9853833646304376,0.9549202775286696,1.0,0.0054504595726075425,0.027399957180023193,0.003978148773312568,19.534787299999152
imagenet,densenet121,ig,0.002,50,50,0,0.8924962988706797,0.05504426834738843,0.7616634499802443,0.6878224966834285,1.0,0.0019302159313383527,0.013289213180541992,0.0015923673496581615,191.63940480000747
imagenet,densenet121,ig,0.005,50,50,0,0.7652120716155454,0.09825832011598469,0.5440772577564287,0.538770228921944,1.0,0.0054504595726075425,0.027399957180023193,0.003978148773312568,191.6048311200302
imagenet,resnet50,gradcam,0.002,50,50,0,0.9966615546252569,0.0055829100578551885,0.9777929423378289,0.9832962887154286,1.0,0.006137330383062363,0.03356356918811798,0.0015923673496581615,7.9666139999881125
imagenet,resnet50,gradcam,0.005,50,50,0,0.9864662851265887,0.014611632713484,0.9356975974920231,0.9555115140300781,1.0,0.02207988638430834,0.1604626625776291,0.003978148773312568,8.0149817000256
imagenet,resnet50,ig,0.002,50,50,0,0.8418498990356741,0.07644475279835394,0.6639408547389959,0.6305861353334898,1.0,0.006137330383062363,0.03356356918811798,0.0015923673496581615,168.44209148000118
imagenet,resnet50,ig,0.005,50,50,0,0.6683846873434822,0.11757850340697412,0.43730889017043106,0.4676972066905807,1.0,0.02207988638430834,0.1604626625776291,0.003978148773312568,168.40787216003264
imagenet,vgg16,gradcam,0.002,50,50,0,0.9698990232654395,0.03329740663123126,0.8592442523053376,0.8344130072982998,0.94,0.00469713601723015,0.027843594551086426,0.0015923673496581615,10.086852559988984
imagenet,vgg16,gradcam,0.005,50,50,0,0.9320172009070038,0.05401795369135587,0.7621584194193379,0.7887701309988855,0.94,0.015018611778868944,0.09032976627349854,0.003978148773312568,10.085338519975267
imagenet,vgg16,ig,0.002,50,50,0,0.9274412266465173,0.034119487108729876,0.8663351481768978,0.7602382999713672,0.94,0.00469713601723015,0.027843594551086426,0.0015923673496581615,298.3226554999965
imagenet,vgg16,ig,0.005,50,50,0,0.791712071757604,0.0865262768146579,0.6430489082643643,0.5870470892366834,0.94,0.015018611778868944,0.09032976627349854,0.003978148773312568,298.1476082199788
voc,densenet121,gradcam,0.002,50,50,0,0.9988138653575335,0.0023801250052538224,0.9902377885524706,0.9851660065450093,1.0,0.0022928500175476074,0.013472110033035278,0.0015917998505756259,19.831073520053906
voc,densenet121,gradcam,0.005,50,50,0,0.9950308575478334,0.008064850477800449,0.9678970911427454,0.9640191327756742,0.94,0.009159232974052429,0.070707768201828,0.003974583605304361,19.851350040007674
voc,densenet121,ig,0.002,50,50,0,0.8323482891789281,0.11453016236051662,0.5838406469727664,0.6008317773176387,1.0,0.0022928500175476074,0.013472110033035278,0.0015917998505756259,191.64401079993695
voc,densenet121,ig,0.005,50,50,0,0.674500181952537,0.18424913870184448,0.30986866910953814,0.4475744431546234,0.94,0.009159232974052429,0.070707768201828,0.003974583605304361,191.68879682000806
voc,resnet50,gradcam,0.002,50,50,0,0.9923995663021989,0.008942341742104967,0.9639814016251783,0.9619401864796656,1.0,0.003739897012710571,0.020162522792816162,0.0015917998505756259,7.745863239979371
voc,resnet50,gradcam,0.005,50,50,0,0.9632551460436809,0.04354399759053467,0.844117990156553,0.919622997133571,1.0,0.009831011295318604,0.06436949968338013,0.003974583605304361,7.781011899987789
voc,resnet50,ig,0.002,50,50,0,0.7275295475647128,0.15869244107337235,0.4033976144292828,0.5055153373672969,1.0,0.003739897012710571,0.020162522792816162,0.0015917998505756259,167.99585221999223
voc,resnet50,ig,0.005,50,50,0,0.5168282257640608,0.21132797284937616,0.1648033850926171,0.3472654471377533,1.0,0.009831011295318604,0.06436949968338013,0.003974583605304361,168.02703884001858
voc,vgg16,gradcam,0.002,50,45,5,0.991440950580376,0.007321492973491279,0.9716769303569073,0.928832912685371,1.0,0.006177231259644031,0.08292746543884277,0.0015917998505756259,9.970337199983987
voc,vgg16,gradcam,0.005,50,45,5,0.9640050645113157,0.03249163726540241,0.8694972715507064,0.8240058926486031,1.0,0.01987201124429703,0.19444912672042847,0.003974583605304361,9.97962649999863
voc,vgg16,ig,0.002,50,50,0,0.8887343778116638,0.08395605667916542,0.7189285211763122,0.694706147803024,1.0,0.006177231259644031,0.08292746543884277,0.0015917998505756259,297.7920990799885
voc,vgg16,ig,0.005,50,50,0,0.723363262528474,0.17825134316846097,0.406323453084805,0.5194392246253026,1.0,0.01987201124429703,0.19444912672042847,0.003974583605304361,297.85758827997597
