image_id,class_id,class_name,image_path
ILSVRC2012_val_00000025,23,vulture,imagenet\raw\ILSVRC2012_val_00000025.JPEG
ILSVRC2012_val_00000060,588,hamper,imagenet\raw\ILSVRC2012_val_00000060.JPEG
ILSVRC2012_val_00000091,270,white_wolf,imagenet\raw\ILSVRC2012_val_00000091.JPEG
ILSVRC2012_val_00000133,276,hyena,imagenet\raw\ILSVRC2012_val_00000133.JPEG
ILSVRC2012_val_00000140,558,flute,imagenet\raw\ILSVRC2012_val_00000140.JPEG
ILSVRC2012_val_00000177,140,red-backed_sandpiper,imagenet\raw\ILSVRC2012_val_00000177.JPEG
ILSVRC2012_val_00000242,366,gorilla,imagenet\raw\ILSVRC2012_val_00000242.JPEG
ILSVRC2012_val_00000306,346,water_buffalo,imagenet\raw\ILSVRC2012_val_00000306.JPEG
ILSVRC2012_val_00000319,102,echidna,imagenet\raw\ILSVRC2012_val_00000319.JPEG
ILSVRC2012_val_00000327,165,black-and-tan_coonhound,imagenet\raw\ILSVRC2012_val_00000327.JPEG
ILSVRC2012_val_00000355,260,chow,imagenet\raw\ILSVRC2012_val_00000355.JPEG
ILSVRC2012_val_00000391,185,Norfolk_terrier,imagenet\raw\ILSVRC2012_val_00000391.JPEG
ILSVRC2012_val_00000451,606,iron,imagenet\raw\ILSVRC2012_val_00000451.JPEG
ILSVRC2012_val_00000502,335,fox_squirrel,imagenet\raw\ILSVRC2012_val_00000502.JPEG
ILSVRC2012_val_00000518,298,mongoose,imagenet\raw\ILSVRC2012_val_00000518.JPEG
ILSVRC2012_val_00000603,227,kelpie,imagenet\raw\ILSVRC2012_val_00000603.JPEG
ILSVRC2012_val_00000604,273,dingo,imagenet\raw\ILSVRC2012_val_00000604.JPEG
ILSVRC2012_val_00000744,97,drake,imagenet\raw\ILSVRC2012_val_00000744.JPEG
ILSVRC2012_val_00000758,240,Appenzeller,imagenet\raw\ILSVRC2012_val_00000758.JPEG
ILSVRC2012_val_00000837,19,chickadee,imagenet\raw\ILSVRC2012_val_00000837.JPEG
ILSVRC2012_val_00001067,132,American_egret,imagenet\raw\ILSVRC2012_val_00001067.JPEG
ILSVRC2012_val_00001069,154,Pekinese,imagenet\raw\ILSVRC2012_val_00001069.JPEG
ILSVRC2012_val_00001218,21,kite,imagenet\raw\ILSVRC2012_val_00001218.JPEG
ILSVRC2012_val_00002263,91,coucal,imagenet\raw\ILSVRC2012_val_00002263.JPEG
ILSVRC2012_val_00002277,241,EntleBucher,imagenet\raw\ILSVRC2012_val_00002277.JPEG
