image_id,dataset,class_id,class_name,image_path,split,bbox_x1y1x2y2
ILSVRC2012_val_00000025,imagenet,23.0,vulture,imagenet\raw\ILSVRC2012_val_00000025.JPEG,eval,
ILSVRC2012_val_00000060,imagenet,588.0,hamper,imagenet\raw\ILSVRC2012_val_00000060.JPEG,eval,
ILSVRC2012_val_00000091,imagenet,270.0,white_wolf,imagenet\raw\ILSVRC2012_val_00000091.JPEG,eval,
ILSVRC2012_val_00000133,imagenet,276.0,hyena,imagenet\raw\ILSVRC2012_val_00000133.JPEG,eval,
ILSVRC2012_val_00000177,imagenet,140.0,red-backed_sandpiper,imagenet\raw\ILSVRC2012_val_00000177.JPEG,eval,
ILSVRC2012_val_00000242,imagenet,366.0,gorilla,imagenet\raw\ILSVRC2012_val_00000242.JPEG,eval,
ILSVRC2012_val_00000306,imagenet,346.0,water_buffalo,imagenet\raw\ILSVRC2012_val_00000306.JPEG,eval,
ILSVRC2012_val_00000319,imagenet,102.0,echidna,imagenet\raw\ILSVRC2012_val_00000319.JPEG,eval,
ILSVRC2012_val_00000327,imagenet,165.0,black-and-tan_coonhound,imagenet\raw\ILSVRC2012_val_00000327.JPEG,eval,
ILSVRC2012_val_00000355,imagenet,260.0,chow,imagenet\raw\ILSVRC2012_val_00000355.JPEG,eval,
ILSVRC2012_val_00000451,imagenet,606.0,iron,imagenet\raw\ILSVRC2012_val_00000451.JPEG,eval,
ILSVRC2012_val_00000502,imagenet,335.0,fox_squirrel,imagenet\raw\ILSVRC2012_val_00000502.JPEG,eval,
ILSVRC2012_val_00000518,imagenet,298.0,mongoose,imagenet\raw\ILSVRC2012_val_00000518.JPEG,eval,
ILSVRC2012_val_00000603,imagenet,227.0,kelpie,imagenet\raw\ILSVRC2012_val_00000603.JPEG,eval,
ILSVRC2012_val_00000604,imagenet,273.0,dingo,imagenet\raw\ILSVRC2012_val_00000604.JPEG,eval,
ILSVRC2012_val_00000744,imagenet,97.0,drake,imagenet\raw\ILSVRC2012_val_00000744.JPEG,eval,
ILSVRC2012_val_00000758,imagenet,240.0,Appenzeller,imagenet\raw\ILSVRC2012_val_00000758.JPEG,eval,
ILSVRC2012_val_00000837,imagenet,19.0,chickadee,imagenet\raw\ILSVRC2012_val_00000837.JPEG,eval,
ILSVRC2012_val_00001067,imagenet,132.0,American_egret,imagenet\raw\ILSVRC2012_val_00001067.JPEG,eval,
ILSVRC2012_val_00001069,imagenet,154.0,Pekinese,imagenet\raw\ILSVRC2012_val_00001069.JPEG,eval,
ILSVRC2012_val_00001218,imagenet,21.0,kite,imagenet\raw\ILSVRC2012_val_00001218.JPEG,eval,
ILSVRC2012_val_00002263,imagenet,91.0,coucal,imagenet\raw\ILSVRC2012_val_00002263.JPEG,eval,
ILSVRC2012_val_00002277,imagenet,241.0,EntleBucher,imagenet\raw\ILSVRC2012_val_00002277.JPEG,eval,
ILSVRC2012_val_00002357,imagenet,12.0,house_finch,imagenet\raw\ILSVRC2012_val_00002357.JPEG,eval,
ILSVRC2012_val_00002468,imagenet,275.0,African_hunting_dog,imagenet\raw\ILSVRC2012_val_00002468.JPEG,eval,
ILSVRC2012_val_00002769,imagenet,155.0,Shih-Tzu,imagenet\raw\ILSVRC2012_val_00002769.JPEG,eval,
ILSVRC2012_val_00002953,imagenet,129.0,spoonbill,imagenet\raw\ILSVRC2012_val_00002953.JPEG,eval,
ILSVRC2012_val_00003732,imagenet,518.0,crash_helmet,imagenet\raw\ILSVRC2012_val_00003732.JPEG,eval,
ILSVRC2012_val_00003924,imagenet,627.0,limousine,imagenet\raw\ILSVRC2012_val_00003924.JPEG,eval,
ILSVRC2012_val_00004210,imagenet,314.0,cockroach,imagenet\raw\ILSVRC2012_val_00004210.JPEG,eval,
ILSVRC2012_val_00004258,imagenet,124.0,crayfish,imagenet\raw\ILSVRC2012_val_00004258.JPEG,eval,
ILSVRC2012_val_00004344,imagenet,17.0,jay,imagenet\raw\ILSVRC2012_val_00004344.JPEG,eval,
ILSVRC2012_val_00004437,imagenet,991.0,coral_fungus,imagenet\raw\ILSVRC2012_val_00004437.JPEG,eval,
ILSVRC2012_val_00004451,imagenet,141.0,redshank,imagenet\raw\ILSVRC2012_val_00004451.JPEG,eval,
ILSVRC2012_val_00004559,imagenet,18.0,magpie,imagenet\raw\ILSVRC2012_val_00004559.JPEG,eval,
ILSVRC2012_val_00004563,imagenet,235.0,German_shepherd,imagenet\raw\ILSVRC2012_val_00004563.JPEG,eval,
ILSVRC2012_val_00004572,imagenet,133.0,bittern,imagenet\raw\ILSVRC2012_val_00004572.JPEG,eval,
ILSVRC2012_val_00004582,imagenet,56.0,king_snake,imagenet\raw\ILSVRC2012_val_00004582.JPEG,eval,
ILSVRC2012_val_00004584,imagenet,360.0,otter,imagenet\raw\ILSVRC2012_val_00004584.JPEG,eval,
ILSVRC2012_val_00004674,imagenet,195.0,Boston_bull,imagenet\raw\ILSVRC2012_val_00004674.JPEG,eval,
ILSVRC2012_val_00004684,imagenet,175.0,otterhound,imagenet\raw\ILSVRC2012_val_00004684.JPEG,eval,
ILSVRC2012_val_00004747,imagenet,12.0,house_finch,imagenet\raw\ILSVRC2012_val_00004747.JPEG,eval,
ILSVRC2012_val_00004986,imagenet,334.0,porcupine,imagenet\raw\ILSVRC2012_val_00004986.JPEG,eval,
ILSVRC2012_val_00004996,imagenet,174.0,Norwegian_elkhound,imagenet\raw\ILSVRC2012_val_00004996.JPEG,eval,
ILSVRC2012_val_00005238,imagenet,267.0,standard_poodle,imagenet\raw\ILSVRC2012_val_00005238.JPEG,eval,
ILSVRC2012_val_00005291,imagenet,162.0,beagle,imagenet\raw\ILSVRC2012_val_00005291.JPEG,eval,
ILSVRC2012_val_00005454,imagenet,346.0,water_buffalo,imagenet\raw\ILSVRC2012_val_00005454.JPEG,eval,
ILSVRC2012_val_00005567,imagenet,11.0,goldfinch,imagenet\raw\ILSVRC2012_val_00005567.JPEG,eval,
ILSVRC2012_val_00005575,imagenet,249.0,malamute,imagenet\raw\ILSVRC2012_val_00005575.JPEG,eval,
ILSVRC2012_val_00005634,imagenet,92.0,bee_eater,imagenet\raw\ILSVRC2012_val_00005634.JPEG,eval,
ILSVRC2012_val_00005746,imagenet,263.0,Pembroke,imagenet\raw\ILSVRC2012_val_00005746.JPEG,eval,
