image_id,class_id,class_name,bbox_x1y1x2y2,image_path
000012,6,car,"[156, 97, 351, 270]",voc\raw\000012.jpg
000036,11,dog,"[27, 79, 319, 344]",voc\raw\000036.jpg
000039,19,tvmonitor,"[156, 89, 344, 279]",voc\raw\000039.jpg
000113,14,person,"[277, 101, 354, 260]",voc\raw\000113.jpg
000118,7,cat,"[164, 97, 281, 375]",voc\raw\000118.jpg
000132,5,bus,"[43, 66, 279, 363]",voc\raw\000132.jpg
000158,2,bird,"[196, 83, 267, 207]",voc\raw\000158.jpg
000211,9,cow,"[48, 262, 244, 349]",voc\raw\000211.jpg
000215,7,cat,"[144, 81, 338, 411]",voc\raw\000215.jpg
000221,6,car,"[72, 77, 432, 253]",voc\raw\000221.jpg
000228,0,aeroplane,"[92, 82, 314, 228]",voc\raw\000228.jpg
000236,2,bird,"[88, 169, 275, 314]",voc\raw\000236.jpg
000244,16,sheep,"[116, 202, 157, 230]",voc\raw\000244.jpg
000246,11,dog,"[60, 44, 331, 310]",voc\raw\000246.jpg
000262,6,car,"[343, 96, 500, 196]",voc\raw\000262.jpg
000270,18,train,"[150, 120, 443, 183]",voc\raw\000270.jpg
000298,14,person,"[180, 32, 339, 359]",voc\raw\000298.jpg
000317,6,car,"[118, 151, 407, 221]",voc\raw\000317.jpg
000321,14,person,"[44, 167, 249, 458]",voc\raw\000321.jpg
000332,12,horse,"[54, 50, 285, 262]",voc\raw\000332.jpg
000403,7,cat,"[157, 90, 486, 372]",voc\raw\000403.jpg
000522,6,car,"[36, 128, 434, 271]",voc\raw\000522.jpg
000540,18,train,"[135, 93, 321, 298]",voc\raw\000540.jpg
000563,3,boat,"[164, 165, 450, 210]",voc\raw\000563.jpg
000605,6,car,"[321, 175, 386, 192]",voc\raw\000605.jpg
000622,9,cow,"[156, 87, 401, 339]",voc\raw\000622.jpg
000656,11,dog,"[230, 61, 447, 174]",voc\raw\000656.jpg
000712,18,train,"[3, 93, 383, 273]",voc\raw\000712.jpg
000714,2,bird,"[190, 56, 439, 300]",voc\raw\000714.jpg
000720,11,dog,"[217, 118, 305, 263]",voc\raw\000720.jpg
000738,0,aeroplane,"[1, 124, 496, 235]",voc\raw\000738.jpg
000748,5,bus,"[47, 100, 440, 246]",voc\raw\000748.jpg
000764,12,horse,"[79, 80, 366, 271]",voc\raw\000764.jpg
000823,6,car,"[49, 160, 343, 265]",voc\raw\000823.jpg
000831,18,train,"[83, 124, 239, 377]",voc\raw\000831.jpg
000845,0,aeroplane,"[9, 97, 493, 206]",voc\raw\000845.jpg
000867,15,pottedplant,"[172, 96, 230, 191]",voc\raw\000867.jpg
000871,6,car,"[8, 114, 491, 292]",voc\raw\000871.jpg
000899,18,train,"[92, 139, 473, 243]",voc\raw\000899.jpg
001008,13,motorbike,"[220, 154, 300, 280]",voc\raw\001008.jpg
001012,0,aeroplane,"[225, 117, 307, 206]",voc\raw\001012.jpg
001078,7,cat,"[2, 101, 245, 375]",voc\raw\001078.jpg
001130,9,cow,"[114, 107, 296, 266]",voc\raw\001130.jpg
001205,3,boat,"[88, 76, 314, 263]",voc\raw\001205.jpg
001225,11,dog,"[100, 212, 303, 414]",voc\raw\001225.jpg
001260,2,bird,"[167, 85, 245, 140]",voc\raw\001260.jpg
001273,2,bird,"[53, 132, 392, 419]",voc\raw\001273.jpg
001274,7,cat,"[138, 196, 230, 344]",voc\raw\001274.jpg
001289,2,bird,"[157, 98, 355, 188]",voc\raw\001289.jpg
001323,18,train,"[33, 188, 481, 322]",voc\raw\001323.jpg
001332,0,aeroplane,"[20, 26, 82, 72]",voc\raw\001332.jpg
001360,6,car,"[7, 91, 448, 272]",voc\raw\001360.jpg
001383,18,train,"[100, 138, 431, 312]",voc\raw\001383.jpg
001397,11,dog,"[128, 121, 214, 263]",voc\raw\001397.jpg
001453,2,bird,"[176, 29, 297, 306]",voc\raw\001453.jpg
001466,6,car,"[2, 114, 452, 264]",voc\raw\001466.jpg
001467,11,dog,"[253, 81, 475, 241]",voc\raw\001467.jpg
001470,19,tvmonitor,"[103, 30, 311, 234]",voc\raw\001470.jpg
001481,3,boat,"[225, 161, 281, 252]",voc\raw\001481.jpg
001486,7,cat,"[110, 61, 461, 269]",voc\raw\001486.jpg
001528,2,bird,"[46, 76, 372, 348]",voc\raw\001528.jpg
001539,1,bicycle,"[102, 167, 357, 350]",voc\raw\001539.jpg
001555,7,cat,"[333, 294, 390, 368]",voc\raw\001555.jpg
001576,6,car,"[51, 172, 458, 280]",voc\raw\001576.jpg
001597,2,bird,"[227, 135, 330, 291]",voc\raw\001597.jpg
001610,7,cat,"[16, 56, 368, 276]",voc\raw\001610.jpg
001627,14,person,"[104, 7, 280, 475]",voc\raw\001627.jpg
001638,0,aeroplane,"[187, 83, 337, 236]",voc\raw\001638.jpg
001661,16,sheep,"[107, 199, 330, 374]",voc\raw\001661.jpg
001669,7,cat,"[21, 75, 364, 337]",voc\raw\001669.jpg
001686,14,person,"[112, 168, 206, 500]",voc\raw\001686.jpg
001708,0,aeroplane,"[6, 93, 498, 245]",voc\raw\001708.jpg
001734,16,sheep,"[100, 84, 441, 313]",voc\raw\001734.jpg
001768,7,cat,"[1, 63, 261, 344]",voc\raw\001768.jpg
001840,7,cat,"[128, 174, 321, 296]",voc\raw\001840.jpg
001853,2,bird,"[202, 63, 343, 286]",voc\raw\001853.jpg
001872,16,sheep,"[153, 22, 355, 342]",voc\raw\001872.jpg
001875,19,tvmonitor,"[36, 138, 143, 234]",voc\raw\001875.jpg
001888,7,cat,"[78, 32, 276, 413]",voc\raw\001888.jpg
001922,0,aeroplane,"[65, 75, 470, 269]",voc\raw\001922.jpg
001931,6,car,"[44, 114, 489, 288]",voc\raw\001931.jpg
001933,2,bird,"[70, 43, 399, 319]",voc\raw\001933.jpg
001934,7,cat,"[36, 55, 239, 262]",voc\raw\001934.jpg
001937,6,car,"[11, 211, 332, 433]",voc\raw\001937.jpg
001960,12,horse,"[108, 138, 264, 332]",voc\raw\001960.jpg
001981,7,cat,"[36, 1, 329, 273]",voc\raw\001981.jpg
001982,7,cat,"[85, 50, 379, 348]",voc\raw\001982.jpg
002042,12,horse,"[75, 182, 260, 360]",voc\raw\002042.jpg
002153,6,car,"[83, 166, 375, 291]",voc\raw\002153.jpg
002178,6,car,"[100, 136, 460, 320]",voc\raw\002178.jpg
002182,6,car,"[15, 121, 438, 252]",voc\raw\002182.jpg
002199,11,dog,"[69, 163, 477, 372]",voc\raw\002199.jpg
002212,2,bird,"[42, 72, 459, 247]",voc\raw\002212.jpg
002260,13,motorbike,"[107, 61, 447, 287]",voc\raw\002260.jpg
002318,13,motorbike,"[29, 167, 188, 340]",voc\raw\002318.jpg
002320,15,pottedplant,"[69, 33, 282, 202]",voc\raw\002320.jpg
002321,18,train,"[117, 197, 242, 306]",voc\raw\002321.jpg
002328,19,tvmonitor,"[107, 61, 351, 315]",voc\raw\002328.jpg
002345,11,dog,"[78, 144, 282, 477]",voc\raw\002345.jpg
002354,0,aeroplane,"[64, 128, 451, 252]",voc\raw\002354.jpg
002364,11,dog,"[169, 108, 397, 276]",voc\raw\002364.jpg
002392,3,boat,"[60, 106, 412, 177]",voc\raw\002392.jpg
002411,6,car,"[129, 163, 300, 259]",voc\raw\002411.jpg
002420,6,car,"[81, 48, 475, 251]",voc\raw\002420.jpg
002454,6,car,"[100, 73, 263, 200]",voc\raw\002454.jpg
002459,14,person,"[121, 205, 192, 237]",voc\raw\002459.jpg
002462,18,train,"[54, 75, 500, 158]",voc\raw\002462.jpg
002466,11,dog,"[125, 92, 421, 217]",voc\raw\002466.jpg
002502,18,train,"[12, 114, 275, 412]",voc\raw\002502.jpg
002525,18,train,"[1, 234, 461, 372]",voc\raw\002525.jpg
002598,15,pottedplant,"[89, 49, 244, 394]",voc\raw\002598.jpg
002603,2,bird,"[185, 99, 304, 245]",voc\raw\002603.jpg
002683,16,sheep,"[130, 123, 348, 293]",voc\raw\002683.jpg
002689,14,person,"[199, 21, 336, 344]",voc\raw\002689.jpg
002690,11,dog,"[82, 296, 327, 500]",voc\raw\002690.jpg
002706,7,cat,"[119, 61, 351, 330]",voc\raw\002706.jpg
002714,14,person,"[168, 91, 246, 357]",voc\raw\002714.jpg
002717,2,bird,"[170, 103, 278, 300]",voc\raw\002717.jpg
002718,2,bird,"[138, 38, 407, 298]",voc\raw\002718.jpg
002721,2,bird,"[274, 86, 453, 220]",voc\raw\002721.jpg
002785,7,cat,"[222, 1, 475, 178]",voc\raw\002785.jpg
002796,7,cat,"[130, 227, 306, 364]",voc\raw\002796.jpg
002810,11,dog,"[84, 59, 360, 256]",voc\raw\002810.jpg
002844,18,train,"[141, 37, 500, 248]",voc\raw\002844.jpg
002848,13,motorbike,"[201, 15, 278, 82]",voc\raw\002848.jpg
