dataset,model,method,method_setting,per_image_attribution_sec,per_image_total_sec,estimated,time_100_images_sec,time_500_images_sec
imagenet,vgg16,gradcam,main_p2_config,0.00834473546885306,0.17043424271878393,1,22.15645155344191,110.78225776720956
imagenet,vgg16,kernelshap,main_p2_config,1.1233067449687724,3.518296771156372,1,457.37858025032835,2286.892901251642
imagenet,vgg16,ig,main_p2_config,0.1294713544688193,0.5198010995937352,1,67.57414294718558,337.8707147359279
imagenet,vgg16,rise,main_p2_config,1.009929863281286,3.1632929766563507,1,411.2280869653256,2056.140434826628
imagenet,vgg16,ablation,main_p2_config,0.1060938176562729,0.4572608914374996,1,59.44391588687495,297.21957943437474
imagenet,vgg16,lime,main_p2_config,1.1558132613749876,3.6039689230000533,1,468.51595999000693,2342.5797999500346
imagenet,vgg16,fourier_shap,n_samples=512,1.0072042113751536,3.1400651006874227,1,408.20846308936495,2041.042315446825
imagenet,vgg16,ma_gig,n_steps=200_reference,24.78264264199953,74.49137850468634,1,9683.879205609224,48419.39602804612
imagenet,resnet50,gradcam,main_p2_config,0.011657982062615702,0.11082318053121298,1,14.407013469057688,72.03506734528844
imagenet,resnet50,kernelshap,main_p2_config,0.7438774100311605,2.2993029020936433,1,298.90937727217363,1494.5468863608683
imagenet,resnet50,ig,main_p2_config,0.08886601984377762,0.33912587875011013,1,44.08636423751432,220.4318211875716
imagenet,resnet50,rise,main_p2_config,0.6168825808125291,1.9273872353749368,1,250.5603405987418,1252.801702993709
imagenet,resnet50,ablation,main_p2_config,0.0689836730936122,0.2849066610000932,1,37.03786593001212,185.18932965006059
imagenet,resnet50,lime,main_p2_config,0.7643054259063149,2.3825207200937086,1,309.7276936121821,1548.6384680609106
imagenet,resnet50,fourier_shap,n_samples=512,0.6168710381875258,1.9133544164375849,1,248.73607413688603,1243.6803706844303
imagenet,resnet50,ma_gig,n_steps=200_reference,24.723886239249737,74.22061216262387,1,9648.679581141103,48243.39790570551
imagenet,densenet121,gradcam,main_p2_config,0.018135559187555828,0.1336623171874578,1,17.376101234369514,86.88050617184757
imagenet,densenet121,kernelshap,main_p2_config,0.8063622003749344,2.5281144069999755,1,328.6548729099968,1643.274364549984
imagenet,densenet121,ig,main_p2_config,0.10029698331257464,0.3789509427812163,1,49.26362256155812,246.3181128077906
imagenet,densenet121,rise,main_p2_config,0.6963937631562942,2.1693597599062286,1,282.0167687878097,1410.0838439390486
imagenet,densenet121,ablation,main_p2_config,0.08292726743732715,0.3356460442187199,1,43.63398574843359,218.16992874216794
imagenet,densenet121,lime,main_p2_config,0.8406769452812739,2.6029021769062126,1,338.37728299780764,1691.8864149890385
imagenet,densenet121,fourier_shap,n_samples=512,0.6595078400624743,2.058432316874928,1,267.5962011937406,1337.9810059687031
imagenet,densenet121,ma_gig,n_steps=200_reference,25.232892368186924,75.75916770656119,1,9848.691801852954,49243.45900926477
voc2007,vgg16,gradcam,main_p2_config,0.00785311600014893,0.15942174200012005,0,20.724826460015606,103.62413230007803
voc2007,vgg16,kernelshap,main_p2_config,1.1403863693124663,3.57846137306268,0,465.1999784981484,2325.9998924907422
voc2007,vgg16,ig,main_p2_config,0.1327351120000344,0.5303667036250772,0,68.94767147126004,344.7383573563002
voc2007,vgg16,rise,main_p2_config,1.031622183937543,3.228883248000102,0,419.75482224001325,2098.7741112000663
