image_id,dataset,model,method,metric,value,time_ms
000246,voc2007,resnet50,ma_gig,attribution_wall_sec,4.008255839999947,
000246,voc2007,resnet50,ma_gig,insertion_auc,0.343120038172871,
000246,voc2007,resnet50,ma_gig,deletion_auc,0.01881087605601568,
000246,voc2007,resnet50,ma_gig,stability_cosine,0.005601295949308844,
001444,voc2007,resnet50,ma_gig,attribution_wall_sec,3.870501430999866,
001444,voc2007,resnet50,ma_gig,insertion_auc,0.005984806550223466,
001444,voc2007,resnet50,ma_gig,deletion_auc,0.0032381851594028115,
001444,voc2007,resnet50,ma_gig,stability_cosine,0.0027556651184541987,
001501,voc2007,resnet50,ma_gig,attribution_wall_sec,3.885053369000161,
001501,voc2007,resnet50,ma_gig,insertion_auc,0.02238237001239584,
001501,voc2007,resnet50,ma_gig,deletion_auc,0.009445297311921716,
001501,voc2007,resnet50,ma_gig,stability_cosine,0.006598011513517176,
002249,voc2007,resnet50,ma_gig,attribution_wall_sec,3.881331520000458,
002249,voc2007,resnet50,ma_gig,insertion_auc,0.007499695861226336,
002249,voc2007,resnet50,ma_gig,deletion_auc,0.0058219375967928635,
002249,voc2007,resnet50,ma_gig,stability_cosine,-0.002214611887139008,
002836,voc2007,resnet50,ma_gig,attribution_wall_sec,3.8838068049999492,
002836,voc2007,resnet50,ma_gig,insertion_auc,0.04620415169779169,
002836,voc2007,resnet50,ma_gig,deletion_auc,0.012504464329223452,
002836,voc2007,resnet50,ma_gig,stability_cosine,-0.009586468201727143,
004113,voc2007,resnet50,ma_gig,attribution_wall_sec,3.900642143999903,
004113,voc2007,resnet50,ma_gig,insertion_auc,0.26347912593726336,
004113,voc2007,resnet50,ma_gig,deletion_auc,0.013896842760191735,
004113,voc2007,resnet50,ma_gig,stability_cosine,0.007082687055006103,
004386,voc2007,resnet50,ma_gig,attribution_wall_sec,3.891915629000323,
004386,voc2007,resnet50,ma_gig,insertion_auc,0.09112270341675904,
004386,voc2007,resnet50,ma_gig,deletion_auc,0.027079946334143876,
004386,voc2007,resnet50,ma_gig,stability_cosine,0.0018657779132322003,
005283,voc2007,resnet50,ma_gig,attribution_wall_sec,3.902252115999545,
005283,voc2007,resnet50,ma_gig,insertion_auc,0.003949454500102983,
005283,voc2007,resnet50,ma_gig,deletion_auc,0.0043691068538751114,
005283,voc2007,resnet50,ma_gig,stability_cosine,0.011501263743566975,
000246,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.6511740570003894,
000246,voc2007,resnet50,fourier_shap,insertion_auc,0.6218611668193195,
000246,voc2007,resnet50,fourier_shap,deletion_auc,0.028545135563050644,
000246,voc2007,resnet50,fourier_shap,stability_cosine,0.9722226827556435,
001444,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.6150859110002784,
001444,voc2007,resnet50,fourier_shap,insertion_auc,0.07731446446411291,
001444,voc2007,resnet50,fourier_shap,deletion_auc,0.01957188089990377,
001444,voc2007,resnet50,fourier_shap,stability_cosine,0.9783827193075254,
001501,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.6177633560000686,
001501,voc2007,resnet50,fourier_shap,insertion_auc,0.39476007140588365,
001501,voc2007,resnet50,fourier_shap,deletion_auc,0.028843819617541244,
001501,voc2007,resnet50,fourier_shap,stability_cosine,0.9852675538696731,
002249,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.615794568999263,
002249,voc2007,resnet50,fourier_shap,insertion_auc,0.34457182906896217,
002249,voc2007,resnet50,fourier_shap,deletion_auc,0.027706045334440262,
002249,voc2007,resnet50,fourier_shap,stability_cosine,0.8907856428333116,
002836,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.6097293410002749,
002836,voc2007,resnet50,fourier_shap,insertion_auc,0.3326275962303453,
002836,voc2007,resnet50,fourier_shap,deletion_auc,0.026529559461527075,
002836,voc2007,resnet50,fourier_shap,stability_cosine,0.9539530330417825,
004113,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.6097772249995614,
004113,voc2007,resnet50,fourier_shap,insertion_auc,0.2455839257130752,
004113,voc2007,resnet50,fourier_shap,deletion_auc,0.18033972425268002,
004113,voc2007,resnet50,fourier_shap,stability_cosine,0.8832563073168116,
004386,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.611608201999843,
004386,voc2007,resnet50,fourier_shap,insertion_auc,0.610649340935405,
004386,voc2007,resnet50,fourier_shap,deletion_auc,0.16682142692620988,
004386,voc2007,resnet50,fourier_shap,stability_cosine,0.9325263517080822,
005283,voc2007,resnet50,fourier_shap,attribution_wall_sec,0.610634996999579,
005283,voc2007,resnet50,fourier_shap,insertion_auc,0.039183896188898504,
005283,voc2007,resnet50,fourier_shap,deletion_auc,0.007770596460385475,
005283,voc2007,resnet50,fourier_shap,stability_cosine,0.8933930205902276,
000246,voc2007,vgg16,ma_gig,attribution_wall_sec,3.983108448999701,
000246,voc2007,vgg16,ma_gig,insertion_auc,0.03423674172100556,
000246,voc2007,vgg16,ma_gig,deletion_auc,0.02250969384624458,
000246,voc2007,vgg16,ma_gig,stability_cosine,0.015920730788401834,
001444,voc2007,vgg16,ma_gig,attribution_wall_sec,3.9908059079998566,
001444,voc2007,vgg16,ma_gig,insertion_auc,0.002451315622305967,
001444,voc2007,vgg16,ma_gig,deletion_auc,0.002446374908562977,
001444,voc2007,vgg16,ma_gig,stability_cosine,0.020290099431650655,
001501,voc2007,vgg16,ma_gig,attribution_wall_sec,4.0008088880003925,
001501,voc2007,vgg16,ma_gig,insertion_auc,0.014972452637695791,
001501,voc2007,vgg16,ma_gig,deletion_auc,0.014989868162802344,
001501,voc2007,vgg16,ma_gig,stability_cosine,0.0049138584019574605,
002249,voc2007,vgg16,ma_gig,attribution_wall_sec,3.9989458840000225,
002249,voc2007,vgg16,ma_gig,insertion_auc,0.013619187728359803,
002249,voc2007,vgg16,ma_gig,deletion_auc,0.013614189137106946,
002249,voc2007,vgg16,ma_gig,stability_cosine,0.005391431410338878,
002836,voc2007,vgg16,ma_gig,attribution_wall_sec,3.991987592999976,
002836,voc2007,vgg16,ma_gig,insertion_auc,0.019847023378426778,
002836,voc2007,vgg16,ma_gig,deletion_auc,0.021776283776531395,
002836,voc2007,vgg16,ma_gig,stability_cosine,0.0022087063764441375,
004113,voc2007,vgg16,ma_gig,attribution_wall_sec,4.0034153220003645,
004113,voc2007,vgg16,ma_gig,insertion_auc,0.06594010095392991,
004113,voc2007,vgg16,ma_gig,deletion_auc,0.02096385927210975,
004113,voc2007,vgg16,ma_gig,stability_cosine,-0.006585296066894898,
004386,voc2007,vgg16,ma_gig,attribution_wall_sec,3.996815153999705,
004386,voc2007,vgg16,ma_gig,insertion_auc,0.02509989953959095,
004386,voc2007,vgg16,ma_gig,deletion_auc,0.01919912953256334,
004386,voc2007,vgg16,ma_gig,stability_cosine,0.0020623049653297454,
005283,voc2007,vgg16,ma_gig,attribution_wall_sec,3.998701852000522,
005283,voc2007,vgg16,ma_gig,insertion_auc,0.019998444824838174,
005283,voc2007,vgg16,ma_gig,deletion_auc,0.01983537377353256,
005283,voc2007,vgg16,ma_gig,stability_cosine,0.0009681368161908088,
000246,voc2007,vgg16,fourier_shap,attribution_wall_sec,1.017074970000067,
000246,voc2007,vgg16,fourier_shap,insertion_auc,0.8216177018850115,
000246,voc2007,vgg16,fourier_shap,deletion_auc,0.024524698353325575,
000246,voc2007,vgg16,fourier_shap,stability_cosine,0.9588656861314098,
001444,voc2007,vgg16,fourier_shap,attribution_wall_sec,1.0203574489996754,
001444,voc2007,vgg16,fourier_shap,insertion_auc,0.011789445000590548,
001444,voc2007,vgg16,fourier_shap,deletion_auc,0.012731918960062412,
001444,voc2007,vgg16,fourier_shap,stability_cosine,0.9044982414160097,
001501,voc2007,vgg16,fourier_shap,attribution_wall_sec,1.0273304140000619,
001501,voc2007,vgg16,fourier_shap,insertion_auc,0.015814380934778653,
001501,voc2007,vgg16,fourier_shap,deletion_auc,0.014976175847028761,
001501,voc2007,vgg16,fourier_shap,stability_cosine,0.962243804179274,
002249,voc2007,vgg16,fourier_shap,attribution_wall_sec,1.018128951000108,
002249,voc2007,vgg16,fourier_shap,insertion_auc,0.08567405046148391,
