method,model,dataset,metric,mean,std,n,config_hash
fourier_shap,densenet121,chncxr_shenzhen,attribution_wall_sec,0.6592687750002142,0.011035660662092864,8,
fourier_shap,densenet121,chncxr_shenzhen,insertion_auc,0.08717190241367441,,8,
fourier_shap,densenet121,chncxr_shenzhen,deletion_auc,0.01941530909275479,,8,
fourier_shap,densenet121,chncxr_shenzhen,stability_cosine,0.9031244204312809,,8,
fourier_shap,densenet121,chncxr_shenzhen,cell_wall_sec,2.0530054068748314,,8,
ma_gig,densenet121,chncxr_shenzhen,attribution_wall_sec,4.400829698249822,0.021845404387649356,8,
ma_gig,densenet121,chncxr_shenzhen,insertion_auc,0.06598029235911332,,8,
ma_gig,densenet121,chncxr_shenzhen,deletion_auc,0.13084972938270645,,8,
ma_gig,densenet121,chncxr_shenzhen,stability_cosine,0.004230383066311602,,8,
ma_gig,densenet121,chncxr_shenzhen,cell_wall_sec,13.273516544999893,,8,
fourier_shap,resnet50,chncxr_shenzhen,attribution_wall_sec,0.6160461191251443,0.007143299963860881,8,
fourier_shap,resnet50,chncxr_shenzhen,insertion_auc,0.08457082735886186,,8,
fourier_shap,resnet50,chncxr_shenzhen,deletion_auc,0.009573769408102551,,8,
fourier_shap,resnet50,chncxr_shenzhen,stability_cosine,0.8288210251910734,,8,
fourier_shap,resnet50,chncxr_shenzhen,cell_wall_sec,1.9080616282500387,,8,
ma_gig,resnet50,chncxr_shenzhen,attribution_wall_sec,3.9479758597502723,0.06133479735253471,8,
ma_gig,resnet50,chncxr_shenzhen,insertion_auc,0.0042555155870478995,,8,
ma_gig,resnet50,chncxr_shenzhen,deletion_auc,0.0035254732570209543,,8,
ma_gig,resnet50,chncxr_shenzhen,stability_cosine,0.005925709728866098,,8,
ma_gig,resnet50,chncxr_shenzhen,cell_wall_sec,11.905622197875118,,8,
fourier_shap,vgg16,chncxr_shenzhen,attribution_wall_sec,0.9948049657502906,0.009252073384223507,8,
fourier_shap,vgg16,chncxr_shenzhen,insertion_auc,0.05117040929030413,,8,
fourier_shap,vgg16,chncxr_shenzhen,deletion_auc,0.024594204764244648,,8,
fourier_shap,vgg16,chncxr_shenzhen,stability_cosine,0.6592737569766316,,8,
fourier_shap,vgg16,chncxr_shenzhen,cell_wall_sec,3.1132579751249523,,8,
ma_gig,vgg16,chncxr_shenzhen,attribution_wall_sec,3.9728848907498104,0.005084019733661745,8,
ma_gig,vgg16,chncxr_shenzhen,insertion_auc,0.006050152228320644,,8,
ma_gig,vgg16,chncxr_shenzhen,deletion_auc,0.008069959283802188,,8,
ma_gig,vgg16,chncxr_shenzhen,stability_cosine,0.022472584653720328,,8,
ma_gig,vgg16,chncxr_shenzhen,cell_wall_sec,12.064729260750141,,8,
fourier_shap,densenet121,voc2007,attribution_wall_sec,0.6597469051247344,0.0031966679013105317,8,
fourier_shap,densenet121,voc2007,insertion_auc,0.2325933448050384,,8,
fourier_shap,densenet121,voc2007,deletion_auc,0.02872755681603905,,8,
fourier_shap,densenet121,voc2007,stability_cosine,0.9533285864227447,,8,
fourier_shap,densenet121,voc2007,cell_wall_sec,2.0638592268750244,,8,
ma_gig,densenet121,voc2007,attribution_wall_sec,4.468128276124844,0.02138163647907764,8,
ma_gig,densenet121,voc2007,insertion_auc,0.07987845437346158,,8,
ma_gig,densenet121,voc2007,deletion_auc,0.012067724089522894,,8,
ma_gig,densenet121,voc2007,stability_cosine,0.006567428727721715,,8,
ma_gig,densenet121,voc2007,cell_wall_sec,13.454338582124933,,8,
fourier_shap,resnet50,voc2007,attribution_wall_sec,0.6176959572499072,0.013857986571765457,8,
fourier_shap,resnet50,voc2007,insertion_auc,0.3333190363532503,,8,
fourier_shap,resnet50,voc2007,deletion_auc,0.060766023564467295,,8,
fourier_shap,resnet50,voc2007,stability_cosine,0.9362234139278822,,8,
fourier_shap,resnet50,voc2007,cell_wall_sec,1.918647204625131,,8,
ma_gig,resnet50,voc2007,attribution_wall_sec,3.902969856750019,0.04379156310152754,8,
ma_gig,resnet50,voc2007,insertion_auc,0.09796779326857921,,8,
ma_gig,resnet50,voc2007,deletion_auc,0.011895832050195905,,8,
ma_gig,resnet50,voc2007,stability_cosine,0.0029504526505274185,,8,
ma_gig,resnet50,voc2007,cell_wall_sec,11.745121841375067,,8,
fourier_shap,vgg16,voc2007,attribution_wall_sec,1.0196034570000165,0.0033063664394925142,8,
fourier_shap,vgg16,voc2007,insertion_auc,0.26225937173659175,,8,
fourier_shap,vgg16,voc2007,deletion_auc,0.04274151631058459,,8,
fourier_shap,vgg16,voc2007,stability_cosine,0.9455318538457433,,8,
fourier_shap,vgg16,voc2007,cell_wall_sec,3.166872226249893,,8,
ma_gig,vgg16,voc2007,attribution_wall_sec,3.9955736312500676,0.006574527504290543,8,
ma_gig,vgg16,voc2007,insertion_auc,0.024520645800769115,,8,
ma_gig,vgg16,voc2007,deletion_auc,0.016916846551181735,,8,
ma_gig,vgg16,voc2007,stability_cosine,0.005646246515427327,,8,
ma_gig,vgg16,voc2007,cell_wall_sec,12.127547462624989,,8,
